number,french_lemma,thematic,pos,adverb_type,formation,is_invariable,placement_position,placement_note,placement_example_front,placement_example_end,example_target_form,memory_note,chinese_translation,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
4009,carrément,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est carrément rapide.,Il travaille carrément.,carrément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,完全地；直截了当地,"completely, directly, straight out","* ici, on passe carrément par-dessus la tête des syndicats -- here, frankly, we go over the heads of the unions","ici, on passe carrément par-dessus la tête des syndicats",9,"here, frankly, we go over the heads of the unions",71,235+s,71 | 235+s,adv,no_noun_verb_adj_bucket
4015,économiquement,Adverbs – differences across registers,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond économiquement.,Il a répondu économiquement.,économiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,经济上,economically,* ce sont des régions qui actuellement explosent économiquement -- these are regions that are currently exploding with economic activity,ce sont des régions qui actuellement explosent économiquement,8,these are regions that are currently exploding with economic activity,73,217,73 | 217,adv,no_noun_verb_adj_bucket
4023,efficacement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond efficacement.,Il a répondu efficacement.,efficacement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,有效地,"efficiently, effectively",* nous avons toujours travaillé efficacement ensemble -- we have always worked effectively together,nous avons toujours travaillé efficacement ensemble,6,we have always worked effectively together,70,250,70 | 250,adv,no_noun_verb_adj_bucket
4057,sensiblement,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est sensiblement rapide.,Il travaille sensiblement.,sensiblement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,明显地；大约,"approximately, more or less, noticeably",* le gouvernement fédéral a réduit sensiblement sa contribution -- the federal government reduced its contribution sizably,le gouvernement fédéral a réduit sensiblement sa contribution,8,the federal government reduced its contribution sizably,63,321+n,63 | 321+n,adv,no_noun_verb_adj_bucket
4078,explicitement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond explicitement.,Il a répondu explicitement.,explicitement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,明确地,explicitly,* se séparer explicitement de l'amour -- to separate oneself explicitly from love,se séparer explicitement de l'amour,5,to separate oneself explicitly from love,76,186,76 | 186,adv,no_noun_verb_adj_bucket
4090,simultanément,Adverbs – differences across registers,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Simultanément, je travaille.",Je travaille simultanément.,simultanément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,同时地,simultaneously,* je répondrai donc aux deux questions simultanément -- so I will answer both questions at the same time,je répondrai donc aux deux questions simultanément,7,so I will answer both questions at the same time,66,278,66 | 278,adv,no_noun_verb_adj_bucket
4091,techniquement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond techniquement.,Il a répondu techniquement.,techniquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,技术上,technically,* je ne te connais pas ... techniquement -- I don't know you ... technically,je ne te connais pas ... techniquement,7,I don't know you ... technically,82,129,82 | 129,adv,no_noun_verb_adj_bucket
4096,délibérément,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond délibérément.,Il a répondu délibérément.,délibérément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,故意地,deliberately,* il marcha délibérément vers la porte -- he strode deliberately towards the door,il marcha délibérément vers la porte,6,he strode deliberately towards the door,80,153,80 | 153,adv,no_noun_verb_adj_bucket
4165,alentour,none,adv,place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Alentour, je reste.",Je reste alentour.,alentour,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,周围,"around, round about",* il n'y avait personne aux alentours immédiats -- there was nobody in the immediate vicinity,il n'y avait personne aux alentours immédiats,7,there was nobody in the immediate vicinity,73,200,73 | 200,adv,no_noun_verb_adj_bucket
4181,quotidiennement,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je quotidiennement travaille.,J'ai quotidiennement travaillé.,quotidiennement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,每天；每日地,"daily, every day",* les gangs font la manchette presque quotidiennement -- gangs make the headlines almost every day,les gangs font la manchette presque quotidiennement,7,gangs make the headlines almost every day,74,198,74 | 198,adv,no_noun_verb_adj_bucket
4252,initialement,Adverbs – differences across registers,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Initialement, je travaille.",Je travaille initialement.,initialement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,最初地,initially,"* initialement, cette opération devait être amicale -- at first, this operation was supposed to be friendly","initialement, cette opération devait être amicale",6,"at first, this operation was supposed to be friendly",66,265+n,66 | 265+n,adv,no_noun_verb_adj_bucket
4266,mutuellement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond mutuellement.,Il a répondu mutuellement.,mutuellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,相互地,"mutually, one another",* ils se sont traités mutuellement de criminels de guerre -- they treated each other like wartime criminals,ils se sont traités mutuellement de criminels de guerre,9,they treated each other like wartime criminals,83,112,83 | 112,adv,no_noun_verb_adj_bucket
4293,partiellement,none,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est partiellement rapide.,Il travaille partiellement.,partiellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,部分地,partly,* le ciel était partiellement dégagé -- the skies were partly cloudy,le ciel était partiellement dégagé,5,the skies were partly cloudy,62,292,62 | 292,adv,no_noun_verb_adj_bucket
4296,indépendamment,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond indépendamment.,Il a répondu indépendamment.,indépendamment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,独立地；不管,"independently, irrespective of, regardless of",* chaque paquet est traité indépendamment -- each package is processed individually,chaque paquet est traité indépendamment,5,each package is processed individually,69,226,69 | 226,adv,no_noun_verb_adj_bucket
4334,brutalement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond brutalement.,Il a répondu brutalement.,brutalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,粗暴地；突然地,brutally,* elle referma brutalement la porte -- she slammed the door shut,elle referma brutalement la porte,5,she slammed the door shut,74,184,74 | 184,adv,no_noun_verb_adj_bucket
4335,lourdement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond lourdement.,Il a répondu lourdement.,lourdement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,沉重地,heavily,* il m'examina lourdement de la tête aux pieds -- he gave me a thorough inspection from head to foot,il m'examina lourdement de la tête aux pieds,8,he gave me a thorough inspection from head to foot,76,165,76 | 165,adv,no_noun_verb_adj_bucket
4367,delà,Adverbs – differences across registers,adv,place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Delà, je reste.",Je reste delà.,delà,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在那边；超过,"beyond, above, over",* mais je n'irai pas au delà -- but I won't go any farther than that,mais je n'irai pas au delà,6,but I won't go any farther than that,63,276+l,63 | 276+l,adv,no_noun_verb_adj_bucket
4408,aucunement,none,adv,negation,derived -ment adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,aucunement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,绝不；一点也不,"in no way, not in the least, not at all",* je ne me sens aucunement coupable -- I don't feel at all guilty,je ne me sens aucunement coupable,6,I don't feel at all guilty,73,182,73 | 182,adv,no_noun_verb_adj_bucket
4409,globalement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond globalement.,Il a répondu globalement.,globalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,总体上,globally,"* globalement, la réponse humanitaire a été positive -- the worldwide humanitarian response was positive","globalement, la réponse humanitaire a été positive",7,the worldwide humanitarian response was positive,62,284-l,62 | 284-l,adv,no_noun_verb_adj_bucket
4417,prochainement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Prochainement, je travaille.",Je travaille prochainement.,prochainement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不久；很快,"shortly, soon",* prévoyez-vous d'autres séries de concert prochainement? -- are you planning other concert series soon?,prévoyez-vous d'autres séries de concert prochainement?,6,are you planning other concert series soon?,65,251,65 | 251,adv,no_noun_verb_adj_bucket
4497,génétiquement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond génétiquement.,Il a répondu génétiquement.,génétiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,基因上；遗传上,genetically,* nous consommons des aliments génétiquement modifiés -- we consume genetically modified foods,nous consommons des aliments génétiquement modifiés,6,we consume genetically modified foods,55,340-l +s,55 | 340-l +s,adv,no_noun_verb_adj_bucket
4527,conjointement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond conjointement.,Il a répondu conjointement.,conjointement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,共同地,jointly,* nous devons conjointement exercer une pression -- we must exert pressure together,nous devons conjointement exercer une pression,6,we must exert pressure together,73,175,73 | 175,adv,no_noun_verb_adj_bucket
4534,successivement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Successivement, je travaille.",Je travaille successivement.,successivement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,连续地；相继地,successively,* mes recherches ont successivement porté sur deux domaines -- my research focused sequentially on two areas,mes recherches ont successivement porté sur deux domaines,8,my research focused sequentially on two areas,75,158,75 | 158,adv,no_noun_verb_adj_bucket
4535,assurément,Adverbs – differences across registers,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Assurément, il faut continuer.","Il faut continuer; assurément, il faut rester prudent.",assurément,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,必定；确实,most certainly,"* la thèse se discute, assurément -- the argument is most assuredly being discussed","la thèse se discute, assurément",5,the argument is most assuredly being discussed,74,167,74 | 167,adv,no_noun_verb_adj_bucket
4550,infiniment,Adverbs – differences across registers,adv,degree/intensity,derived -ment adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est infiniment rapide.,Il travaille infiniment.,infiniment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,无限地；非常,infinitely,* votre idée me fait infiniment plaisir -- your idea pleases me infinitely,votre idée me fait infiniment plaisir,6,your idea pleases me infinitely,67,220+l,67 | 220+l,adv,no_noun_verb_adj_bucket
4557,indirectement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond indirectement.,Il a répondu indirectement.,indirectement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,间接地,indirectly,* j'étais impliqué aussi bien directement qu'indirectement -- I was implicated as directly as I was indirectly,j'étais impliqué aussi bien directement qu'indirectement,6,I was implicated as directly as I was indirectly,75,159,75 | 159,adv,no_noun_verb_adj_bucket
4579,continuellement,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je continuellement travaille.,J'ai continuellement travaillé.,continuellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,持续地；不断地,"continually, continuously","* je dors continuellement, et j'ai de la fièvre -- I sleep constantly, and I have a fever","je dors continuellement, et j'ai de la fièvre",8,"I sleep constantly, and I have a fever",78,134,78 | 134,adv,no_noun_verb_adj_bucket
4632,concrètement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond concrètement.,Il a répondu concrètement.,concrètement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,具体地,in concrete terms,* je vous demande concrètement si vous allez prendre des mesures sérieuses -- I ask you concretely if you are going to take serious measures,je vous demande concrètement si vous allez prendre des mesures sérieuses,11,I ask you concretely if you are going to take serious measures,68,206,68 | 206,adv,no_noun_verb_adj_bucket
4644,logiquement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Logiquement, il faut continuer.","Il faut continuer; logiquement, il faut rester prudent.",logiquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,逻辑上,logically,"* logiquement, il fallait que cette vie se termine -- logically, this life had to end","logiquement, il fallait que cette vie se termine",8,"logically, this life had to end",78,129,78 | 129,adv,no_noun_verb_adj_bucket
4691,présentement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Présentement, je travaille.",Je travaille présentement.,présentement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,目前；现在,"at present, presently",* nous étudions ce besoin présentement -- we're currently studying this need,nous étudions ce besoin présentement,5,we're currently studying this need,52,338-n +s,52 | 338-n +s,adv,no_noun_verb_adj_bucket
4698,fondamentalement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Fondamentalement, il faut continuer.","Il faut continuer; fondamentalement, il faut rester prudent.",fondamentalement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,根本上；基本上,"basically, fundamentally, inherently",* telle est fondamentalement notre position -- fundamentally that is our position,telle est fondamentalement notre position,5,fundamentally that is our position,67,210+s,67 | 210+s,adv,no_noun_verb_adj_bucket
4726,inévitablement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Inévitablement, il faut continuer.","Il faut continuer; inévitablement, il faut rester prudent.",inévitablement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,不可避免地,inevitably,* le chômage augmenterait inévitablement -- unemployment would inevitably increase,le chômage augmenterait inévitablement,4,unemployment would inevitably increase,77,131,77 | 131,adv,no_noun_verb_adj_bucket
4795,jadis,Adverbs – differences across registers,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Jadis, je travaille.",Je travaille jadis.,jadis,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,从前；昔日,"formerly, long ago","* jadis, nous étions des esclaves -- long ago, we were slaves","jadis, nous étions des esclaves",5,"long ago, we were slaves",62,239+l -s,62 | 239+l -s,adv,no_noun_verb_adj_bucket
4808,théoriquement,none,adv,connector/logical,derived -ment adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Théoriquement, il faut continuer.","Il faut continuer; théoriquement, il faut rester prudent.",théoriquement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,理论上,theoretically,* l'accès en resterait théoriquement interdit aux femmes seules -- access would theoretically remain forbidden to unaccompanied women,l'accès en resterait théoriquement interdit aux femmes seules,8,access would theoretically remain forbidden to unaccompanied women,76,136,76 | 136,adv,no_noun_verb_adj_bucket
4815,traditionnellement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Traditionnellement, je travaille.",Je travaille traditionnellement.,traditionnellement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,传统上,traditionally,"* traditionnellement, le cadre est un manager -- traditionally, the executive is a manager","traditionnellement, le cadre est un manager",6,"traditionally, the executive is a manager",68,192,68 | 192,adv,no_noun_verb_adj_bucket
4818,gratuitement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond gratuitement.,Il a répondu gratuitement.,gratuitement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,免费地；无偿地,"free, gratuitously",* il nous a tout donné gratuitement -- he gave us everything for free,il nous a tout donné gratuitement,6,he gave us everything for free,77,129,77 | 129,adv,no_noun_verb_adj_bucket
4859,couramment,none,adv,frequency,derived -ment adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je couramment travaille.,J'ai couramment travaillé.,couramment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,流利地；通常地,"fluently, commonly",* elle parlait couramment deux autres langues aussi -- she also spoke two other languages fluently,elle parlait couramment deux autres langues aussi,7,she also spoke two other languages fluently,77,126,77 | 126,adv,no_noun_verb_adj_bucket
4882,résolument,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond résolument.,Il a répondu résolument.,résolument,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,坚决地,resolutely,* il faut se tourner résolument vers l'avenir -- you need to be forward-looking,il faut se tourner résolument vers l'avenir,7,you need to be forward-looking,77,124,77 | 124,adv,no_noun_verb_adj_bucket
4917,sévèrement,none,adv,manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond sévèrement.,Il a répondu sévèrement.,sévèrement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,严厉地；严重地,"severely, harshly",* mon père m'aurait sévèrement corrigé -- my father would have severely disciplined me,mon père m'aurait sévèrement corrigé,5,my father would have severely disciplined me,75,137,75 | 137,adv,no_noun_verb_adj_bucket
4967,piano,none,"adv,nm",manner,simple adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond piano.,Il a répondu piano.,piano,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,轻轻地；钢琴,piano,* elle retournait au piano et recommençait à jouer -- she returned to the piano and resumed playing,elle retournait au piano et recommençait à jouer,8,she returned to the piano and resumed playing,61,225-n,61 | 225-n,adv|nm,moved_from_nouns_contains_adv_or_conj
4991,provisoirement,none,adv,time,derived -ment adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Provisoirement, je travaille.",Je travaille provisoirement.,provisoirement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,临时地,"temporarily, provisionally",* je décidai provisoirement de m'en contenter -- I decided to be happy with it for the time being,je décidai provisoirement de m'en contenter,6,I decided to be happy with it for the time being,72,148-s,72 | 148-s,adv,no_noun_verb_adj_bucket
